ISP名,【月次】CB金額,【月次】CP中の料金（戸建）,【月次】CB実施期間（終了日）,【月次】特典,【月次】CB受取条件（内部参照・掲載不可）,【半年】通常料金（戸建）,【半年】通常料金（マンション）,確認URL（アフィリリンク）,最終更新日
NURO光,-,-,-,-,-,¥6050,¥4400,https://px.a8.net/svt/ejp?a8mat=4B3JAM+86PL82+2VMU+5YJRM,
hi-ho ひかり with games,-,-,-,-,-,¥7590,¥7590,https://h.accesstrade.net/sp/cc?rk=0100pau800os5p,
GameWith光,-,-,-,-,-,¥7370,¥7370,https://gamewith-hikari.gamewith.co.jp/,
Gaming+,-,-,-,-,-,¥3278,¥3278,（承認後に追加）,
auひかり,-,-,-,-,-,¥6468,¥4180,https://px.a8.net/svt/ejp?a8mat=4B3K2L+48EZN6+42Y0+5ZMCH,
ドコモ光,-,-,-,-,-,¥6380,¥4400,https://h.accesstrade.net/sp/cc?rk=0100ki0f00os5p,
ソフトバンク光,-,-,-,-,-,¥6380,¥4180,https://px.a8.net/svt/ejp?a8mat=4B3K2L+4HXXBM+348K+1BP8ZM,
ビッグローブ光,-,-,-,-,-,¥6270,¥4378,https://px.a8.net/svt/ejp?a8mat=4B3K2L+4FK6WI+B4+2NBPO2,
コミュファ光,-,-,-,-,-,¥5940,¥5170,https://px.a8.net/svt/ejp?a8mat=4B3K2L+41V7ZM+42Y0+BX3J6,
ピカラ光,-,-,-,-,-,¥7370,¥5720,https://px.a8.net/svt/ejp?a8mat=4B3K2L+5QLFOY+348K+1ZGG0Y,
メガ・エッグ,-,-,-,-,-,¥6750,¥5720,https://px.a8.net/svt/ejp?a8mat=4B3K2L+5R6VAQ+348K+2BDR9U,
eo光,-,-,-,-,-,¥6530,¥3326,https://px.a8.net/svt/ejp?a8mat=4B3K2L+5Q0036+3IIQ+5YRHE,
BBIQ,-,-,-,-,-,¥7370,¥6380,https://px.a8.net/svt/ejp?a8mat=4B3K2L+54KEB6+348K+2Z861U,
